image,candidate,offset_east_m,offset_north_m,offset_alt_m,yaw_offset_deg,edge_chamfer,edge_overlap_ratio,objective,passes_strict_visual_gate,selected_by_visual_objective,safe_output_worse_than_initial,valid_depth_ratio,query_edge_count,render_edge_count
0002.JPG,em1_nm0p5_ym0p312,-1.0,-0.5,0.0,-0.3125,4.624692916870117,0.5020196191575302,4.122673297712587,True,False,False,1.0,1773,1733
0003.JPG,initial,0.0,0.0,0.0,0.0,4.390451431274414,0.6980365605958023,3.6924148706786117,True,False,False,1.0,1477,2134
0003.JPG,ep2_nz0_yz0,2.0,0.0,0.0,0.0,4.323225975036621,0.7197020988490183,3.603523876187603,True,False,False,1.0,1477,2195
0003.JPG,em2_nz0_yz0,-2.0,0.0,0.0,0.0,4.596004486083984,0.6472579553148273,3.948746530769157,False,False,True,1.0,1477,2021
0003.JPG,ez0_np2_yz0,0.0,2.0,0.0,0.0,4.504997730255127,0.6804333107650643,3.8245644194900628,False,False,True,1.0,1477,2098
0003.JPG,ez0_nm2_yz0,0.0,-2.0,0.0,0.0,4.342872142791748,0.6228842247799594,3.7199879180117885,False,False,True,1.0,1477,2011
0003.JPG,ez0_nz0_yp0p5,0.0,0.0,0.0,0.5,4.420853614807129,0.7224102911306702,3.6984433236764587,False,False,True,1.0,1477,2219
0003.JPG,ez0_nz0_ym0p5,0.0,0.0,0.0,-0.5,4.542375564575195,0.6607989167230873,3.881576647852108,False,False,True,1.0,1477,2055
0003.JPG,ep4_nz0_yz0,4.0,0.0,0.0,0.0,4.031550407409668,0.7271496276235613,3.3044007797861066,True,False,False,1.0,1477,2132
0003.JPG,ep2_np2_yz0,2.0,2.0,0.0,0.0,4.674750328063965,0.6506431956668923,4.024107132397073,False,False,True,1.0,1477,1959
0003.JPG,ep2_nm2_yz0,2.0,-2.0,0.0,0.0,4.598609447479248,0.6391333784698714,3.9594760690093764,False,False,True,1.0,1477,1948
0003.JPG,ep2_nz0_yp0p5,2.0,0.0,0.0,0.5,4.833457946777344,0.6391333784698714,4.194324568307472,False,False,True,1.0,1477,2007
0003.JPG,ep2_nz0_ym0p5,2.0,0.0,0.0,-0.5,4.449710845947266,0.7149627623561273,3.734748083591138,False,False,True,1.0,1477,2088
0003.JPG,ep6_nz0_yz0,6.0,0.0,0.0,0.0,4.514647483825684,0.6384563303994584,3.876191153426225,False,False,True,1.0,1477,2075
0003.JPG,ep4_np2_yz0,4.0,2.0,0.0,0.0,4.110321998596191,0.7122545700744752,3.398067428521716,True,False,False,1.0,1477,2075
0003.JPG,ep4_nm2_yz0,4.0,-2.0,0.0,0.0,4.5696306228637695,0.6330399458361544,3.936590677027615,False,False,True,1.0,1477,2060
0003.JPG,ep4_nz0_yp0p5,4.0,0.0,0.0,0.5,4.395818710327148,0.6547054840893703,3.741113226237778,False,False,True,1.0,1477,2072
0003.JPG,ep4_nz0_ym0p5,4.0,0.0,0.0,-0.5,4.394026756286621,0.6425186188219364,3.751508137464685,False,False,True,1.0,1477,1998
0003.JPG,ep5_nz0_yz0,5.0,0.0,0.0,0.0,4.20479154586792,0.7095463777928233,3.4952451680750967,True,False,False,1.0,1477,2116
0003.JPG,ep3_nz0_yz0,3.0,0.0,0.0,0.0,4.513862609863281,0.6729857819905213,3.84087682787276,False,False,True,1.0,1477,2060
0003.JPG,ep4_np1_yz0,4.0,1.0,0.0,0.0,4.253523826599121,0.7400135409614083,3.5135102856377127,True,False,False,1.0,1477,2220
0003.JPG,ep4_nm1_yz0,4.0,-1.0,0.0,0.0,4.504605293273926,0.6479350033852403,3.8566702898886853,False,False,True,1.0,1477,2039
0003.JPG,ep4_nz0_yp0p25,4.0,0.0,0.0,0.25,4.4422712326049805,0.6851726472579553,3.757098585347025,False,False,True,1.0,1477,2119
0003.JPG,ep4_nz0_ym0p25,4.0,0.0,0.0,-0.25,4.556342601776123,0.6709546377792823,3.8853879639968407,False,False,True,1.0,1477,2054
0003.JPG,ep4p5_nz0_yz0,4.5,0.0,0.0,0.0,4.196373462677002,0.6675693974272173,3.5288040652497847,False,False,True,1.0,1477,2049
0003.JPG,ep3p5_nz0_yz0,3.5,0.0,0.0,0.0,4.1479644775390625,0.7237643872714963,3.424200090267566,True,False,False,1.0,1477,2150
0003.JPG,ep4_np0p5_yz0,4.0,0.5,0.0,0.0,3.906494617462158,0.7582938388625592,3.148200778599599,True,True,False,1.0,1477,2186
0003.JPG,ep4_nm0p5_yz0,4.0,-0.5,0.0,0.0,4.5295562744140625,0.6553825321597834,3.8741737422542792,False,False,True,1.0,1477,1977
0003.JPG,ep4_nz0_yp0p125,4.0,0.0,0.0,0.125,4.516576290130615,0.6716316858496953,3.84494460428092,False,False,True,1.0,1477,2150
0003.JPG,ep4_nz0_ym0p125,4.0,0.0,0.0,-0.125,4.31895637512207,0.7088693297224103,3.61008704539966,True,False,False,1.0,1477,2065
0003.JPG,ep4p5_np0p5_yz0,4.5,0.5,0.0,0.0,4.331056594848633,0.6662153012863913,3.6648412935622416,False,False,True,1.0,1477,2154
0003.JPG,ep3p5_np0p5_yz0,3.5,0.5,0.0,0.0,4.417052745819092,0.7061611374407583,3.7108916083783337,False,False,True,1.0,1477,2058
0003.JPG,ep4_np0p5_yp0p125,4.0,0.5,0.0,0.125,4.211955547332764,0.7271496276235613,3.4848059197092023,True,False,False,1.0,1477,2172
0003.JPG,ep4_np0p5_ym0p125,4.0,0.5,0.0,-0.125,4.354710578918457,0.6919431279620853,3.6627674509563715,False,False,True,1.0,1477,2149
0003.JPG,ep4p25_np0p5_yz0,4.25,0.5,0.0,0.0,4.134829044342041,0.6993906567366283,3.4354383876054126,True,False,False,1.0,1477,2093
0003.JPG,ep3p75_np0p5_yz0,3.75,0.5,0.0,0.0,4.29278564453125,0.7278266756939743,3.5649589688372756,True,False,False,1.0,1477,2153
0003.JPG,ep4_np0p75_yz0,4.0,0.75,0.0,0.0,4.163249492645264,0.7285037237643873,3.4347457688808762,True,False,False,1.0,1477,2119
0003.JPG,ep4_np0p25_yz0,4.0,0.25,0.0,0.0,4.145268440246582,0.6723087339201084,3.4729597063264737,False,False,True,1.0,1477,2028
0003.JPG,ep4_np0p5_yp0p062,4.0,0.5,0.0,0.0625,4.054728984832764,0.7420446851726472,3.3126842996601162,True,False,False,1.0,1477,2090
0003.JPG,ep4_np0p5_ym0p062,4.0,0.5,0.0,-0.0625,4.283453941345215,0.7115775220040623,3.5718764193411525,True,False,False,1.0,1477,2084
0004.JPG,initial,0.0,0.0,0.0,0.0,2.9588804244995117,0.8932542624166049,2.065626162082907,True,False,False,1.0,2698,3654
0004.JPG,ep2_nz0_yz0,2.0,0.0,0.0,0.0,2.9418540000915527,0.9132690882134915,2.0285849118780614,True,False,False,1.0,2698,3576
0004.JPG,em2_nz0_yz0,-2.0,0.0,0.0,0.0,2.966001510620117,0.9010378057820608,2.0649637048380565,False,False,True,1.0,2698,3571
