image,candidate,rotation_convention,axis_transform_key,axis_transform,principal_point_mode,distortion_enabled,sampling_mode,ray_step_m,render_scale,edge_chamfer,edge_overlap_ratio,valid_depth_ratio,query_edge_count,render_edge_count,edge_overlap_count,render_time_sec
0000.jpg,screen_064_R_xml_pmp_flip_y_nodist_nearest_step1p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",flip_y,False,nearest,1.0,0.25,35.42534255981445,0.10357142857142858,0.998253515948157,21217,14560,1508,3.865329919000942
0000.jpg,screen_065_R_xml_pmp_flip_y_nodist_bilinear_step1p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",flip_y,False,bilinear,1.0,0.25,36.15076446533203,0.10227600115240565,0.9982581119588197,21217,13884,1420,9.388284766999277
0000.jpg,screen_066_R_xml_pmp_flip_y_dist_nearest_step10p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",flip_y,True,nearest,10.0,0.25,35.286285400390625,0.09620492238682642,0.9896459539786132,21217,16943,1630,1.2916935799985367
0000.jpg,screen_067_R_xml_pmp_flip_y_dist_bilinear_step10p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",flip_y,True,bilinear,10.0,0.25,38.611724853515625,0.09749321209825093,0.9896474859821675,21217,15837,1544,2.023963122999703
0000.jpg,screen_068_R_xml_pmp_flip_y_dist_nearest_step2p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",flip_y,True,nearest,2.0,0.25,36.18901443481445,0.09006647916133981,0.9903613996384472,21217,15644,1409,2.2919011830017553
0000.jpg,screen_069_R_xml_pmp_flip_y_dist_bilinear_step2p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",flip_y,True,bilinear,2.0,0.25,39.91075897216797,0.0815391975941494,0.9903598676348929,21217,14631,1193,5.335977063998143
0000.jpg,screen_070_R_xml_pmp_flip_y_dist_nearest_step1p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",flip_y,True,nearest,1.0,0.25,36.22357177734375,0.08187432355000955,0.9905092379814321,21217,15707,1286,3.6606278699982795
0000.jpg,screen_071_R_xml_pmp_flip_y_dist_bilinear_step1p0_scale0p25,R_xml,pmp,"[1.0, -1.0, 1.0]",flip_y,True,bilinear,1.0,0.25,39.275657653808594,0.0854485049833887,0.9905107699849863,21217,15050,1286,10.362191461998009
0000.jpg,screen_072_R_xml_pmm_xml_nodist_nearest_step10p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",xml,False,nearest,10.0,0.25,inf,0.0,0.0,21217,0,0,1.2692418139995425
0000.jpg,screen_073_R_xml_pmm_xml_nodist_bilinear_step10p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",xml,False,bilinear,10.0,0.25,inf,0.0,0.0,21217,0,0,2.8516952489990217
0000.jpg,screen_074_R_xml_pmm_xml_nodist_nearest_step2p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",xml,False,nearest,2.0,0.25,inf,0.0,0.0,21217,0,0,4.763719047001359
0000.jpg,screen_075_R_xml_pmm_xml_nodist_bilinear_step2p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",xml,False,bilinear,2.0,0.25,inf,0.0,0.0,21217,0,0,11.402996329998132
0000.jpg,screen_076_R_xml_pmm_xml_nodist_nearest_step1p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",xml,False,nearest,1.0,0.25,inf,0.0,0.0,21217,0,0,8.557275118997495
0000.jpg,screen_077_R_xml_pmm_xml_nodist_bilinear_step1p0_scale0p25,R_xml,pmm,"[1.0, -1.0, -1.0]",xml,False,bilinear,1.0,0.25,inf,0.0,0.0,21217,0,0,22.44972678799968
